obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""63183""","=""""","=""3.45e+01""",C,"=""7.319059""","=""7.338682""","=""3s2.3p.4d""","=""3D*""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",5,3,,"=""T6066LS'""","=""""",
"=""""","=""68473.5""","=""""","=""1.21e-10""",D+,"=""0.0095610""","=""0.0276679""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""3P""","=""2""",3,5,E2,"=""c22,T4209""","=""""",
"=""""","=""68473.5""","=""""","=""4.21e-05""",B+,"=""0.0095610""","=""0.0276679""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""3P""","=""2""",3,5,M1,"=""c22,T4209""","=""""",
"=""""","=""69244""","=""""","=""2.01e+03""",B+,"=""7.526402""","=""7.5443078""","=""3s2.3p.(2P*<3/2>).6p<3/2>""","=""(3/2,3/2)""","=""3""","=""3s2.3p.5d""","=""3F*""","=""4""",7,9,,"=""T6066LS'""","=""""",
"=""""","=""72780""","=""""","=""5.59e+03""",B+,"=""7.809264""","=""7.826299""","=""3s2.3p.(2P*<3/2>).6f""","=""2[3/2]""","=""1""","=""3s2.3p.6d""","=""3P*""","=""0""",3,1,,"=""T6066LS'""","=""""",
"=""""","=""73470""","=""""","=""2.48e+02""",C+,"=""7.626487""","=""7.6433624""","=""3s2.3p.5d""","=""3D*""","=""1""","=""3s2.3p.(2P*<3/2>).5f""","=""2[3/2]""","=""2""",3,5,,"=""T6066LS'""","=""""",
"=""""","=""74654""","=""""","=""6.28e+01""",C+,"=""7.3220738""","=""7.338682""","=""3s2.3p.4d""","=""3D*""","=""1""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",3,3,,"=""T6066LS'""","=""""",
"=""""","=""88456""","=""""","=""2.28e+03""",B,"=""7.739221""","=""7.753238""","=""3s2.3p.(2P*<3/2>).7p<3/2>""","=""(3/2,3/2)""","=""3""","=""3s2.3p.6d""","=""3F*""","=""4""",7,9,,"=""T6066LS'""","=""""",
"=""""","=""89767""","=""""","=""7.43e+02""",B+,"=""7.809264""","=""7.823076""","=""3s2.3p.(2P*<3/2>).6f""","=""2[3/2]""","=""1""","=""3s2.3p.6d""","=""3P*""","=""1""",3,3,,"=""T6066LS'""","=""""",
"=""""","=""129676""","=""""","=""8.25e-06""",B+,"=""0.0000000""","=""0.0095610""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p2""","=""3P""","=""1""",1,3,M1,"=""c22,T4209""","=""""",
"=""""","=""219010""","=""""","=""2.34e-15""",D,"=""5.6135319""","=""5.6191930""","=""3s.3p3""","=""3D*""","=""1""","=""3s.3p3""","=""3D*""","=""3""",3,7,E2,"=""c22""","=""""",
"=""""","=""354370""","=""""","=""2.43e-15""",D+,"=""5.6156943""","=""5.6191930""","=""3s.3p3""","=""3D*""","=""2""","=""3s.3p3""","=""3D*""","=""3""",5,7,E2,"=""c22""","=""""",
"=""""","=""354370""","=""""","=""4.04e-07""",D+,"=""5.6156943""","=""5.6191930""","=""3s.3p3""","=""3D*""","=""2""","=""3s.3p3""","=""3D*""","=""3""",5,7,M1,"=""c22""","=""""",
"=""""","=""573360""","=""""","=""3.46e-16""",D+,"=""5.6135319""","=""5.6156943""","=""3s.3p3""","=""3D*""","=""1""","=""3s.3p3""","=""3D*""","=""2""",3,5,E2,"=""c22""","=""""",
"=""""","=""573360""","=""""","=""1.29e-07""",D+,"=""5.6135319""","=""5.6156943""","=""3s.3p3""","=""3D*""","=""1""","=""3s.3p3""","=""3D*""","=""2""",3,5,M1,"=""c22""","=""""",
